,DTM2,HOSP_SHORT,CAP,TOT,EA,WTBS,BT,RESUS,alert,CLR,ACT,Plus30Min,File_Name
0,2019-10-31 23:55:00,FMC,53,60,4,11,49,0,,8,31,4,Amb_Dashboard_2019.11.01_00.00
1,2019-11-01 00:00:00,FMC,53,59,5,10,49,0,,8,31,4,Amb_Dashboard_2019.11.01_00.10
2,2019-11-01 00:05:00,FMC,53,59,4,11,48,0,,9,32,5,Amb_Dashboard_2019.11.01_00.15
3,2019-11-01 00:10:00,FMC,53,59,4,11,48,0,,9,32,5,Amb_Dashboard_2019.11.01_00.15
4,2019-11-01 00:15:00,FMC,53,56,5,11,45,1,,9,32,6,Amb_Dashboard_2019.11.01_00.25
5,2019-11-01 00:20:00,FMC,53,56,5,11,45,1,,9,32,6,Amb_Dashboard_2019.11.01_00.25
6,2019-11-01 00:25:00,FMC,53,56,4,8,48,1,,9,26,5,Amb_Dashboard_2019.11.01_00.30
7,2019-11-01 00:30:00,FMC,53,56,4,7,49,1,,9,26,5,Amb_Dashboard_2019.11.01_00.35
8,2019-11-01 00:35:00,FMC,53,53,3,6,47,1,,10,28,5,Amb_Dashboard_2019.11.01_00.40
9,2019-11-01 00:40:00,FMC,53,53,4,8,45,1,,10,28,5,Amb_Dashboard_2019.11.01_00.45
10,2019-11-01 00:45:00,FMC,53,55,2,8,47,1,,13,30,6,Amb_Dashboard_2019.11.01_00.55
11,2019-11-01 00:50:00,FMC,53,55,2,8,47,1,,13,30,6,Amb_Dashboard_2019.11.01_00.55
12,2019-11-01 00:55:00,FMC,53,56,2,9,47,1,,14,30,6,Amb_Dashboard_2019.11.01_01.00
13,2019-11-01 01:00:00,FMC,53,54,2,8,46,2,,14,30,6,Amb_Dashboard_2019.11.01_01.10
14,2019-11-01 01:05:00,FMC,53,54,2,8,46,2,,14,30,6,Amb_Dashboard_2019.11.01_01.10
15,2019-11-01 01:10:00,FMC,53,52,4,8,44,2,,14,30,6,Amb_Dashboard_2019.11.01_01.15
16,2019-11-01 01:15:00,FMC,53,51,3,8,43,2,,15,30,8,Amb_Dashboard_2019.11.01_01.25
17,2019-11-01 01:20:00,FMC,53,51,3,8,43,2,,15,30,8,Amb_Dashboard_2019.11.01_01.25
18,2019-11-01 01:25:00,FMC,53,53,3,8,45,2,,14,30,7,Amb_Dashboard_2019.11.01_01.30
19,2019-11-01 01:30:00,FMC,53,53,4,7,46,2,,14,30,7,Amb_Dashboard_2019.11.01_01.40
20,2019-11-01 01:35:00,FMC,53,54,6,5,49,2,,14,30,7,Amb_Dashboard_2019.11.01_01.45
21,2019-11-01 01:40:00,FMC,53,54,6,5,49,2,,14,30,7,Amb_Dashboard_2019.11.01_01.45
22,2019-11-01 01:45:00,FMC,53,52,4,8,44,1,,14,30,7,Amb_Dashboard_2019.11.01_01.55
23,2019-11-01 01:50:00,FMC,53,52,4,8,44,1,,14,30,7,Amb_Dashboard_2019.11.01_01.55
24,2019-11-01 01:55:00,FMC,53,52,4,9,43,1,,14,30,7,Amb_Dashboard_2019.11.01_02.00
25,2019-11-01 02:00:00,FMC,53,52,3,9,43,1,,14,29,6,Amb_Dashboard_2019.11.01_02.10
26,2019-11-01 02:05:00,FMC,53,48,3,9,39,1,,15,29,6,Amb_Dashboard_2019.11.01_02.15
27,2019-11-01 02:10:00,FMC,53,48,3,9,39,1,,15,29,6,Amb_Dashboard_2019.11.01_02.15
28,2019-11-01 02:15:00,FMC,53,45,2,7,38,1,,15,29,7,Amb_Dashboard_2019.11.01_02.25
29,2019-11-01 02:20:00,FMC,53,45,2,7,38,1,,15,29,7,Amb_Dashboard_2019.11.01_02.25
30,2019-11-01 02:25:00,FMC,53,47,2,7,40,1,,15,30,7,Amb_Dashboard_2019.11.01_02.40
31,2019-11-01 02:30:00,FMC,53,47,2,7,40,1,,15,30,7,Amb_Dashboard_2019.11.01_02.40
32,2019-11-01 02:35:00,FMC,53,47,2,7,40,1,,15,30,7,Amb_Dashboard_2019.11.01_02.40
33,2019-11-01 02:40:00,FMC,53,47,2,7,40,1,,14,30,7,Amb_Dashboard_2019.11.01_02.45
34,2019-11-01 02:45:00,FMC,53,47,2,8,39,1,,14,30,8,Amb_Dashboard_2019.11.01_02.55
35,2019-11-01 02:50:00,FMC,53,45,1,6,39,0,,16,30,8,Amb_Dashboard_2019.11.01_03.00
36,2019-11-01 02:55:00,FMC,53,45,1,6,39,0,,16,30,8,Amb_Dashboard_2019.11.01_03.00
37,2019-11-01 03:00:00,FMC,53,45,1,6,39,0,,15,29,7,Amb_Dashboard_2019.11.01_03.10
