,DTM1,HOSP_SHORT,BURN_CAP,BURN_OCC,CCU_CAP,CCU_OCC,ICU_CAP,ICU_OCC,MH_CAP,MH_OCC,NEO_CAP,NEO_OCC,OBST_CAP,OBST_OCC,PAED_CAP,PAED_OCC,File_Name
0,2019-11-01 00:00:00,FMC,0.0,0.0,20.0,18.0,28.0,31.0,108.0,97.0,33.0,42.0,43.0,52.0,26.0,26.0,Amb_Dashboard_2019.11.01_00.45
1,2019-11-01 00:30:00,FMC,0.0,0.0,20.0,18.0,28.0,31.0,108.0,97.0,33.0,42.0,43.0,53.0,26.0,26.0,Amb_Dashboard_2019.11.01_01.25
2,2019-11-01 10:00:00,FMC,0.0,0.0,20.0,17.0,28.0,33.0,108.0,97.0,33.0,43.0,43.0,60.0,26.0,27.0,Amb_Dashboard_2019.11.01_10.55
3,2019-11-01 10:30:00,FMC,0.0,0.0,20.0,17.0,28.0,33.0,108.0,99.0,33.0,43.0,43.0,60.0,26.0,27.0,Amb_Dashboard_2019.11.01_11.15
4,2019-11-01 11:00:00,FMC,0.0,0.0,20.0,17.0,28.0,33.0,108.0,100.0,33.0,43.0,43.0,59.0,26.0,26.0,Amb_Dashboard_2019.11.01_11.55
5,2019-11-01 11:30:00,FMC,0.0,0.0,20.0,16.0,28.0,33.0,108.0,100.0,33.0,43.0,43.0,58.0,26.0,25.0,Amb_Dashboard_2019.11.01_12.25
6,2019-11-01 12:00:00,FMC,0.0,0.0,20.0,14.0,28.0,33.0,108.0,100.0,33.0,42.0,43.0,58.0,26.0,26.0,Amb_Dashboard_2019.11.01_12.45
7,2019-11-01 12:30:00,FMC,0.0,0.0,20.0,15.0,28.0,33.0,108.0,100.0,33.0,41.0,43.0,56.0,26.0,26.0,Amb_Dashboard_2019.11.01_13.15
8,2019-11-01 13:00:00,FMC,0.0,0.0,20.0,15.0,28.0,33.0,108.0,99.0,33.0,40.0,43.0,55.0,26.0,23.0,Amb_Dashboard_2019.11.01_13.55
9,2019-11-01 13:30:00,FMC,0.0,0.0,20.0,13.0,28.0,33.0,108.0,98.0,33.0,40.0,43.0,55.0,26.0,22.0,Amb_Dashboard_2019.11.01_14.25
10,2019-11-01 14:00:00,FMC,0.0,0.0,20.0,13.0,28.0,33.0,108.0,98.0,33.0,40.0,43.0,52.0,26.0,22.0,Amb_Dashboard_2019.11.01_14.45
11,2019-11-01 14:30:00,FMC,0.0,0.0,20.0,13.0,28.0,32.0,108.0,96.0,33.0,40.0,43.0,52.0,26.0,22.0,Amb_Dashboard_2019.11.01_15.25
12,2019-11-01 15:00:00,FMC,0.0,0.0,20.0,12.0,28.0,30.0,108.0,97.0,33.0,40.0,43.0,56.0,26.0,21.0,Amb_Dashboard_2019.11.01_15.55
13,2019-11-01 15:30:00,FMC,0.0,0.0,20.0,14.0,28.0,31.0,108.0,96.0,33.0,41.0,43.0,56.0,26.0,18.0,Amb_Dashboard_2019.11.01_16.15
14,2019-11-01 16:00:00,FMC,0.0,0.0,20.0,14.0,28.0,31.0,108.0,96.0,33.0,41.0,43.0,54.0,26.0,19.0,Amb_Dashboard_2019.11.01_16.45
15,2019-11-01 16:30:00,FMC,0.0,0.0,20.0,16.0,28.0,29.0,108.0,96.0,33.0,41.0,43.0,55.0,26.0,20.0,Amb_Dashboard_2019.11.01_17.25
16,2019-11-01 17:00:00,FMC,0.0,0.0,20.0,17.0,28.0,29.0,108.0,96.0,33.0,41.0,43.0,55.0,26.0,20.0,Amb_Dashboard_2019.11.01_17.55
17,2019-11-01 17:30:00,FMC,0.0,0.0,20.0,17.0,28.0,29.0,108.0,96.0,33.0,41.0,43.0,55.0,26.0,20.0,Amb_Dashboard_2019.11.01_18.15
18,2019-11-01 18:00:00,FMC,0.0,0.0,20.0,16.0,28.0,29.0,108.0,96.0,33.0,41.0,43.0,57.0,26.0,19.0,Amb_Dashboard_2019.11.01_18.55
19,2019-11-01 18:30:00,FMC,0.0,0.0,20.0,16.0,28.0,29.0,108.0,96.0,33.0,41.0,43.0,57.0,26.0,19.0,Amb_Dashboard_2019.11.01_19.25
20,2019-11-01 19:00:00,FMC,0.0,0.0,20.0,16.0,28.0,30.0,108.0,96.0,33.0,41.0,43.0,57.0,26.0,19.0,Amb_Dashboard_2019.11.01_19.45
21,2019-11-01 19:30:00,FMC,0.0,0.0,20.0,16.0,28.0,30.0,108.0,97.0,33.0,42.0,43.0,57.0,26.0,19.0,Amb_Dashboard_2019.11.01_20.15
22,2019-11-01 01:00:00,FMC,0.0,0.0,20.0,18.0,28.0,31.0,108.0,97.0,33.0,42.0,43.0,53.0,26.0,26.0,Amb_Dashboard_2019.11.01_01.55
23,2019-11-01 01:30:00,FMC,0.0,0.0,20.0,18.0,28.0,31.0,108.0,97.0,33.0,42.0,43.0,53.0,26.0,27.0,Amb_Dashboard_2019.11.01_02.25
24,2019-11-01 20:00:00,FMC,0.0,0.0,20.0,16.0,28.0,30.0,108.0,97.0,33.0,42.0,43.0,57.0,26.0,20.0,Amb_Dashboard_2019.11.01_20.55
25,2019-11-01 20:30:00,FMC,0.0,0.0,20.0,15.0,28.0,30.0,108.0,97.0,33.0,43.0,43.0,57.0,26.0,20.0,Amb_Dashboard_2019.11.01_21.25
26,2019-11-01 21:00:00,FMC,0.0,0.0,20.0,15.0,28.0,30.0,108.0,97.0,33.0,43.0,43.0,57.0,26.0,20.0,Amb_Dashboard_2019.11.01_21.45
27,2019-11-01 21:30:00,FMC,0.0,0.0,20.0,15.0,28.0,30.0,108.0,97.0,33.0,43.0,43.0,57.0,26.0,20.0,Amb_Dashboard_2019.11.01_22.25
28,2019-11-01 22:00:00,FMC,0.0,0.0,20.0,15.0,28.0,30.0,108.0,97.0,33.0,44.0,43.0,57.0,26.0,22.0,Amb_Dashboard_2019.11.01_22.55
