,DTM1,HOSP_CAT,HOSP_SHORT,CAT,BT,WTBS,File_Name
0,2019-11-01 00:00:00,FMC_2,FMC,2,9,0,Amb_Dashboard_2019.11.01_00.00
1,2019-11-01 00:30:00,FMC_2,FMC,2,6,0,Amb_Dashboard_2019.11.01_00.30
2,2019-11-01 01:00:00,FMC_2,FMC,2,5,2,Amb_Dashboard_2019.11.01_01.00
3,2019-11-01 01:30:00,FMC_2,FMC,2,7,1,Amb_Dashboard_2019.11.01_01.30
4,2019-11-01 02:00:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_02.00
5,2019-11-01 02:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_02.30
6,2019-11-01 03:00:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_03.00
7,2019-11-01 03:30:00,FMC_2,FMC,2,9,0,Amb_Dashboard_2019.11.01_03.30
8,2019-11-01 04:00:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_04.00
9,2019-11-01 04:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_04.30
10,2019-11-01 05:00:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_05.00
11,2019-11-01 05:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_05.30
12,2019-11-01 06:00:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_06.00
13,2019-11-01 06:30:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_06.30
14,2019-11-01 07:00:00,FMC_2,FMC,2,5,0,Amb_Dashboard_2019.11.01_07.00
15,2019-11-01 07:30:00,FMC_2,FMC,2,5,0,Amb_Dashboard_2019.11.01_07.30
16,2019-11-01 08:00:00,FMC_2,FMC,2,5,1,Amb_Dashboard_2019.11.01_08.00
17,2019-11-01 08:30:00,FMC_2,FMC,2,6,0,Amb_Dashboard_2019.11.01_08.30
18,2019-11-01 09:00:00,FMC_2,FMC,2,7,0,Amb_Dashboard_2019.11.01_09.00
19,2019-11-01 09:30:00,FMC_2,FMC,2,8,0,Amb_Dashboard_2019.11.01_09.30
20,2019-11-01 10:00:00,FMC_2,FMC,2,9,0,Amb_Dashboard_2019.11.01_10.00
21,2019-11-01 10:30:00,FMC_2,FMC,2,10,1,Amb_Dashboard_2019.11.01_10.30
22,2019-11-01 11:00:00,FMC_2,FMC,2,11,0,Amb_Dashboard_2019.11.01_11.00
23,2019-11-01 11:30:00,FMC_2,FMC,2,12,0,Amb_Dashboard_2019.11.01_11.30
24,2019-11-01 12:00:00,FMC_1,FMC,1,0,1,Amb_Dashboard_2019.11.01_12.00
25,2019-11-01 12:30:00,FMC_1,FMC,1,1,1,Amb_Dashboard_2019.11.01_12.30
26,2019-11-01 13:00:00,FMC_2,FMC,2,15,0,Amb_Dashboard_2019.11.01_13.00
27,2019-11-01 13:30:00,FMC_1,FMC,1,2,1,Amb_Dashboard_2019.11.01_13.30
28,2019-11-01 14:00:00,FMC_1,FMC,1,3,0,Amb_Dashboard_2019.11.01_14.00
