,DTM1,HOSP_TYPE,HOSP_SHORT,WFB,OCC,BASE,File_Name
0,2019-10-31 23:30:00,METRO,WCHP,5.0,58.0,92.0,Amb_Dashboard_2019.11.01_00.00
1,2019-10-31 23:30:00,METRO,TQEH,9.0,218.0,278.0,Amb_Dashboard_2019.11.01_00.00
2,2019-10-31 23:30:00,METRO,RAH,21.0,536.0,559.0,Amb_Dashboard_2019.11.01_00.00
3,2019-10-31 23:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_00.00
4,2019-10-31 23:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_00.00
5,2019-10-31 23:30:00,METRO,LMH,10.0,225.0,194.0,Amb_Dashboard_2019.11.01_00.00
6,2019-10-31 23:30:00,METRO,FMC,17.0,353.0,390.0,Amb_Dashboard_2019.11.01_00.00
7,2019-11-01 00:00:00,METRO,WCHP,5.0,59.0,92.0,Amb_Dashboard_2019.11.01_00.25
8,2019-11-01 00:00:00,METRO,TQEH,9.0,218.0,278.0,Amb_Dashboard_2019.11.01_00.25
9,2019-11-01 00:00:00,METRO,RAH,20.0,540.0,559.0,Amb_Dashboard_2019.11.01_00.25
10,2019-11-01 00:00:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_00.25
11,2019-11-01 00:00:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_00.25
12,2019-11-01 00:00:00,METRO,LMH,11.0,228.0,194.0,Amb_Dashboard_2019.11.01_00.25
13,2019-11-01 00:00:00,METRO,FMC,17.0,354.0,390.0,Amb_Dashboard_2019.11.01_00.25
14,2019-11-01 00:30:00,METRO,TQEH,8.0,220.0,278.0,Amb_Dashboard_2019.11.01_00.55
15,2019-11-01 00:30:00,METRO,WCHP,5.0,59.0,92.0,Amb_Dashboard_2019.11.01_00.55
16,2019-11-01 00:30:00,METRO,FMC,16.0,356.0,390.0,Amb_Dashboard_2019.11.01_00.55
17,2019-11-01 00:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_00.55
18,2019-11-01 00:30:00,METRO,LMH,8.0,229.0,194.0,Amb_Dashboard_2019.11.01_00.55
19,2019-11-01 00:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_00.55
20,2019-11-01 00:30:00,METRO,RAH,23.0,541.0,559.0,Amb_Dashboard_2019.11.01_00.55
21,2019-11-01 01:00:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_01.25
22,2019-11-01 01:00:00,METRO,TQEH,6.0,222.0,278.0,Amb_Dashboard_2019.11.01_01.25
23,2019-11-01 01:00:00,METRO,RAH,24.0,540.0,559.0,Amb_Dashboard_2019.11.01_01.25
24,2019-11-01 01:00:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_01.25
25,2019-11-01 01:00:00,METRO,WCHP,4.0,62.0,92.0,Amb_Dashboard_2019.11.01_01.25
26,2019-11-01 01:00:00,METRO,LMH,7.0,230.0,194.0,Amb_Dashboard_2019.11.01_01.25
27,2019-11-01 01:00:00,METRO,FMC,16.0,356.0,390.0,Amb_Dashboard_2019.11.01_01.25
28,2019-11-01 01:30:00,METRO,NHS,0.0,37.0,51.0,Amb_Dashboard_2019.11.01_01.55
29,2019-11-01 01:30:00,METRO,LMH,7.0,230.0,194.0,Amb_Dashboard_2019.11.01_01.55
30,2019-11-01 01:30:00,METRO,FMC,15.0,356.0,390.0,Amb_Dashboard_2019.11.01_01.55
31,2019-11-01 01:30:00,METRO,MH,0.0,30.0,36.0,Amb_Dashboard_2019.11.01_01.55
32,2019-11-01 01:30:00,METRO,TQEH,5.0,223.0,278.0,Amb_Dashboard_2019.11.01_01.55
33,2019-11-01 01:30:00,METRO,RAH,26.0,540.0,559.0,Amb_Dashboard_2019.11.01_01.55
34,2019-11-01 01:30:00,METRO,WCHP,4.0,63.0,92.0,Amb_Dashboard_2019.11.01_01.55
